"","date","new.on.day","cum.new.on.day"
"1","2014-08-13",0,0
"2","2014-08-14",30,30
"3","2014-08-15",53,83
"4","2014-08-16",53,136
"5","2014-08-17",15,151
"6","2014-08-18",16,167
"7","2014-08-19",0,167
"8","2014-08-20",21,188
"9","2014-08-21",43,231
"10","2014-08-22",23,254
"11","2014-08-23",0,254
"12","2014-08-24",22,276
"13","2014-08-25",0,276
"14","2014-08-26",0,276
"15","2014-08-27",0,276
"16","2014-08-28",0,276
"17","2014-08-29",0,276
"18","2014-08-30",0,276
"19","2014-08-30",0,276
"20","2014-08-31",0,276
"21","2014-08-31",0,276
"22","2014-09-01",0,276
"23","2014-09-01",0,276
"24","2014-09-02",36,312
"25","2014-09-02",36,348
"26","2014-09-03",103,451
"27","2014-09-04",21,472
"28","2014-09-04",21,493
"29","2014-09-06",26,519
"30","2014-09-07",0,519
"31","2014-09-08",83,602
"32","2014-09-09",47,649
"33","2014-09-10",21,670
"34","2014-09-11",52,722
"35","2014-09-12",2,724
"36","2014-09-13",10,734
"37","2014-09-14",0,734
"38","2014-09-15",10,744
"39","2014-09-16",2,746
"40","2014-09-17",41,787
"41","2014-09-18",0,787
"42","2014-09-19",0,787
"43","2014-09-20",12,799
"44","2014-09-21",12,811
"45","2014-09-22",11,822
"46","2014-09-24",4,826
"47","2014-09-25",0,826
"48","2014-09-26",20,846
"49","2014-09-27",4,850
"50","2014-09-28",0,850
"51","2014-09-29",0,850
"52","2014-10-02",13,863
"53","2014-10-04",0,863
"54","2014-10-05",0,863
"55","2014-10-06",0,863
"56","2014-10-08",0,863
"57","2014-10-09",35,898
"58","2014-10-11",2,900
"59","2014-10-12",0,900
"60","2014-10-13",10,910
"61","2014-10-14",43,953
"62","2014-10-15",43,996
"63","2014-10-16",35,1031
"64","2014-10-17",0,1031
"65","2014-10-18",0,1031
"66","2014-10-19",0,1031
"67","2014-10-20",0,1031
"68","2014-10-21",0,1031
"69","2014-10-22",0,1031
"70","2014-10-23",35,1066
"71","2014-10-24",35,1101
"72","2014-10-24",35,1136
"73","2014-10-25",0,1136
"74","2014-10-26",0,1136
"75","2014-10-26",0,1136
"76","2014-10-27",0,1136
"77","2014-10-27",0,1136
"78","2014-10-28",0,1136
"79","2014-10-28",0,1136
"80","2014-10-29",3,1139
"81","2014-10-29",3,1142
"82","2014-10-31",19,1161
"83","2014-11-01",19,1180
"84","2014-11-02",19,1199
"85","2014-11-03",0,1199
"86","2014-11-07",0,1199
"87","2014-11-08",0,1199
"88","2014-11-09",0,1199
"89","2014-11-11",0,1199
"90","2014-11-13",0,1199
"91","2014-11-14",0,1199
"92","2014-11-15",0,1199
"93","2014-11-16",0,1199
"94","2014-11-17",0,1199
"95","2014-11-18",0,1199
"96","2014-11-19",0,1199
"97","2014-11-20",0,1199
"98","2014-11-21",0,1199
"99","2014-11-22",0,1199
"100","2014-11-23",0,1199
"101","2014-11-24",0,1199
"102","2014-11-25",0,1199
"103","2014-11-26",0,1199
"104","2014-11-27",0,1199
"105","2014-11-28",0,1199
"106","2014-11-29",0,1199
"107","2014-11-30",0,1199
"108","2014-12-01",0,1199
"109","2014-12-02",0,1199
"110","2014-12-03",0,1199
"111","2014-12-05",0,1199
"112","2014-12-06",0,1199
"113","2014-12-07",0,1199
"114","2014-12-08",0,1199
"115","2014-12-09",11,1210
"116","2014-12-10",0,1210
"117","2014-12-11",0,1210
"118","2014-12-12",0,1210
"119","2014-12-13",0,1210
"120","2014-12-14",0,1210
"121","2014-12-15",18,1228
"122","2014-12-16",34,1262
"123","2014-12-17",0,1262
"124","2014-12-18",13,1275
"125","2014-12-20",5,1280
"126","2014-12-21",5,1285
"127","2014-12-22",0,1285
"128","2014-12-23",0,1285
"129","2014-12-24",0,1285
"130","2014-12-25",0,1285
"131","2014-12-26",0,1285
"132","2014-12-27",0,1285
"133","2014-12-28",0,1285
"134","2014-12-29",0,1285
"135","2014-12-30",0,1285
"136","2014-12-31",0,1285
"137","2015-01-01",0,1285
"138","2015-01-02",18,1303
"139","2015-01-03",18,1321
"140","2015-01-04",18,1339
"141",NA,0,1339
"142",NA,31,1370
